Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],8,0.003669,0.020767,0.025982
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],3,0.002685,0.019962,0.019676
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],5,0.004703,0.019969,0.032167
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],6,0.002733,0.010724,0.019342
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],2,0.001786,0.00997,0.013017
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],4,0.00372,0.013369,0.025548
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],4,0.001789,0.010989,0.01275
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],1,0.000883,0.00538,0.006436
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],3,0.002719,0.016275,0.018947
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],6,0.002653,0.011026,0.018946
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],2,0.001741,0.009442,0.012751
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],4,0.003595,0.012559,0.025025
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],8,0.003531,0.016152,0.025008
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],5,0.004366,0.024642,0.03156
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],3,0.002677,0.008787,0.01858
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],5,0.002173,0.009335,0.01548
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],1,0.000862,0.004772,0.006252
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],4,0.003505,0.01215,0.024534
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],6,0.002631,0.013241,0.018441
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],3,0.002605,0.015572,0.018595
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],3,0.002657,0.010344,0.018289
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],9,0.003826,0.014663,0.02733
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],4,0.00337,0.01598,0.024491
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],5,0.004291,0.013472,0.030123
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],9,0.003772,0.015197,0.026997
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],3,0.002491,0.011758,0.018141
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],6,0.005077,0.017069,0.035713
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],7,0.002936,0.012025,0.020743
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],1,0.000831,0.004299,0.005973
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],6,0.00508,0.018178,0.035286
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],12,0.004998,0.01714,0.035142
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],6,0.004974,0.022854,0.035415
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],6,0.005024,0.012884,0.034872
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],8,0.003305,0.014486,0.023162
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],2,0.001652,0.008034,0.011672
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],6,0.004957,0.019969,0.034474
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],10,0.004055,0.017279,0.028635
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],6,0.00483,0.022004,0.034637
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],4,0.003269,0.013737,0.022728
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],10,0.003963,0.014419,0.028331
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],7,0.005513,0.022565,0.039989
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],3,0.002393,0.008034,0.016862
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],11,0.00425,0.021864,0.030843
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],3,0.002294,0.014766,0.016963
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],8,0.006247,0.027578,0.044496
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],24,0.008674,0.030567,0.065338
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],12,0.008505,0.040668,0.065868
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],12,0.00885,0.020953,0.064816
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],19,0.00711,0.023643,0.052222
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],12,0.008838,0.033969,0.066511
