Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],511,0.234337,1.409687,1.659585
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],429,0.383924,2.352055,2.813675
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],82,0.077126,0.471554,0.527539
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],435,0.198143,1.179672,1.402265
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],369,0.329464,2.000063,2.401655
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],66,0.061374,0.364486,0.421541
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],405,0.181125,1.074495,1.290936
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],343,0.302827,1.812603,2.20741
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],62,0.056191,0.341705,0.391562
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],440,0.194545,1.159708,1.389365
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],373,0.324616,1.950855,2.378018
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],67,0.060217,0.375875,0.419174
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],420,0.185362,1.08723,1.312933
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],345,0.301276,1.778863,2.177647
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],75,0.066922,0.40199,0.464492
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],468,0.203362,1.211453,1.448939
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],370,0.318949,1.888989,2.313139
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],98,0.08587,0.541875,0.601083
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],428,0.187654,1.098201,1.315426
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],346,0.30048,1.751809,2.144614
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],82,0.072611,0.450564,0.499892
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],422,0.179409,1.052704,1.281475
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],339,0.28564,1.670758,2.075653
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],83,0.071223,0.440708,0.500043
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],407,0.170566,0.97766,1.220842
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],313,0.259911,1.480186,1.892703
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],94,0.079532,0.482755,0.559509
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],355,0.148898,0.83188,1.051974
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],285,0.236886,1.315685,1.702308
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],70,0.059268,0.356587,0.411665
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],336,0.139956,0.774844,0.983965
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],263,0.218008,1.181523,1.552373
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],73,0.06112,0.379463,0.424277
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],303,0.125168,0.695797,0.877265
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],229,0.189191,1.028038,1.336449
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],74,0.061141,0.367086,0.425185
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],276,0.111924,0.628528,0.790332
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],206,0.165815,0.911405,1.189216
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],70,0.057208,0.351841,0.397734
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],241,0.095507,0.525385,0.682787
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],189,0.148851,0.797512,1.07969
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],52,0.041479,0.258977,0.292274
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],205,0.079205,0.451706,0.574804
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],149,0.113948,0.657523,0.842516
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],56,0.04373,0.248384,0.311471
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],139,0.050237,0.27018,0.378416
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],116,0.082212,0.450896,0.636727
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],23,0.016963,0.091708,0.124231
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],175,0.065491,0.373063,0.480995
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],134,0.098695,0.559322,0.742708
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],41,0.031193,0.189692,0.223545
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],190,0.071879,0.402804,0.527387
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],131,0.098171,0.538005,0.733313
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],59,0.045075,0.270044,0.324845
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],129,0.038613,0.25209,0.336039
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],98,0.056301,0.362949,0.514141
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],31,0.019373,0.144381,0.160393
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],133,0.042677,0.268598,0.349376
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],107,0.065353,0.418328,0.5662
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],26,0.017578,0.122666,0.135629
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],136,0.044097,0.265007,0.36034
