Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],723,0.331557,1.834929,2.348101
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],554,0.495789,2.955652,3.63351
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],169,0.158954,0.852623,1.087245
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],774,0.352559,1.926418,2.495064
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],595,0.53125,3.103654,3.872588
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],179,0.166454,0.858807,1.14327
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],800,0.357777,1.913232,2.549997
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],617,0.544735,3.123143,3.970764
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],183,0.165856,0.830699,1.15574
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],723,0.319672,1.703903,2.282979
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],550,0.478656,2.728087,3.506461
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],173,0.155486,0.757866,1.082345
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],796,0.351305,1.830458,2.48832
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],609,0.531817,2.953214,3.844021
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],187,0.166859,0.815703,1.158134
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],751,0.326334,1.702707,2.325114
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],574,0.494802,2.717792,3.588491
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],177,0.155092,0.783491,1.085629
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],761,0.333656,1.693224,2.338877
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],581,0.504564,2.68092,3.601216
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],180,0.159391,0.779185,1.097323
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],806,0.342662,1.7519,2.447557
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],625,0.526622,2.811002,3.826795
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],181,0.155317,0.790113,1.090454
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],877,0.367535,1.881597,2.63066
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],670,0.556358,2.972555,4.051473
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],207,0.17514,0.85794,1.23211
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],847,0.355258,1.824609,2.50992
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],661,0.549409,2.938338,3.948161
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],186,0.157484,0.76482,1.093853
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],868,0.361554,1.798262,2.541909
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],680,0.56367,2.899063,4.013739
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],188,0.157405,0.762117,1.092657
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],893,0.368895,1.804745,2.585471
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],662,0.546918,2.734929,3.863445
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],231,0.190859,0.93135,1.327267
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],953,0.386462,1.903181,2.728936
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],742,0.597255,3.015352,4.283485
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],211,0.172441,0.857176,1.198885
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],997,0.395105,1.95264,2.82464
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],783,0.616667,3.122422,4.473
