Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],1,0.000406,0.000903,0.002864
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],1,0.000817,0.001364,0.005682
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],0,0,0,0
