Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],299,0.13711697,0.59769994,0.97106821
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],75,0.0671195,0.3815772,0.49190121
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],224,0.21068473,0.74290839,1.44108256
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],321,0.14621614,0.62259998,1.03477452
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],74,0.06607143,0.35998789,0.48163274
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],247,0.22968839,0.80470121,1.57758455
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],333,0.14892466,0.63010486,1.06143622
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],84,0.07416171,0.39854322,0.54059022
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],249,0.22567226,0.79739797,1.57256388
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],281,0.12424338,0.51619029,0.88729884
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],65,0.05656847,0.30031902,0.4143999
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],216,0.19413287,0.65981263,1.35136674
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],300,0.13240123,0.52719578,0.93780907
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],74,0.06462148,0.33121207,0.46708953
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],226,0.20165788,0.66647365,1.39966967
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],318,0.13818157,0.564711,0.98453549
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],73,0.06292778,0.31332316,0.45637602
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],245,0.21467501,0.75498286,1.50270665
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],315,0.13811004,0.53431433,0.96812898
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],67,0.05818548,0.27623243,0.41528654
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],248,0.21960507,0.73321451,1.5118674
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],267,0.1135122,0.43712326,0.81079126
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],75,0.06319461,0.29712941,0.45921534
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],192,0.16475596,0.54408982,1.1567249
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],277,0.11608561,0.45366079,0.8308927
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],72,0.05978775,0.29150136,0.43538218
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],205,0.17344806,0.56699487,1.22020592
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],283,0.11869909,0.42871901,0.8386156
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],67,0.05568901,0.24623339,0.40019178
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],216,0.18288501,0.56804306,1.27028038
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],258,0.10746642,0.38410416,0.75554438
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],60,0.04973557,0.22700596,0.35415346
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],198,0.16577777,0.49319702,1.15077755
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],283,0.1169064,0.41051934,0.81935985
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],64,0.05287421,0.22895749,0.37350526
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],219,0.18094388,0.54679543,1.25831768
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],278,0.112735,0.40293853,0.79605911
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],81,0.06519902,0.2827693,0.46760418
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],197,0.16099901,0.49178489,1.11933802
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],266,0.10541417,0.3690688,0.7536152
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],75,0.05906768,0.25337981,0.42844826
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],191,0.15235512,0.45819655,1.07354612
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],278,0.10741014,0.37425354,0.77949017
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],64,0.04894426,0.20610667,0.36188609
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],214,0.16710917,0.50566917,1.19026331
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],332,0.11999031,0.40908999,0.90384172
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],90,0.063785,0.2523969,0.49401213
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],242,0.17847924,0.53988249,1.30712494
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],306,0.11451539,0.38828298,0.84105343
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],88,0.06481454,0.25918348,0.48774824
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],218,0.16585388,0.49318277,1.18860378
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],283,0.10706193,0.36729776,0.78552903
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],82,0.06145038,0.25681911,0.45902019
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],201,0.15356172,0.45018003,1.10667402
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],340,0.10177173,0.35981663,0.88568378
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],94,0.05400282,0.21900622,0.49315602
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],246,0.15373463,0.48246341,1.2727971
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],272,0.0872802,0.29137109,0.7145127
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],77,0.04702979,0.19522278,0.40745264
