Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],308,0.141244,0.581722,1.000298
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],118,0.105601,0.599748,0.773925
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],190,0.178706,0.570248,1.222347
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],327,0.148949,0.600141,1.054116
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],116,0.103571,0.577205,0.754992
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],211,0.196212,0.609799,1.347653
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],314,0.140427,0.561044,1.000874
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],111,0.097999,0.530798,0.714351
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],203,0.183982,0.575604,1.28205
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],326,0.14414,0.560938,1.029393
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],126,0.109656,0.597329,0.803298
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],200,0.179753,0.51965,1.251266
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],330,0.145641,0.548635,1.03159
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],118,0.103045,0.522076,0.744818
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],212,0.189166,0.554551,1.312964
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],317,0.137747,0.517317,0.981439
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],131,0.112925,0.559169,0.818976
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],186,0.162978,0.48286,1.14083
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],300,0.131533,0.475964,0.922028
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],108,0.093792,0.44005,0.669417
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],192,0.170017,0.489987,1.170478
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],346,0.147098,0.538835,1.050688
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],140,0.117963,0.557834,0.857202
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],206,0.176769,0.518453,1.241069
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],348,0.14584,0.523627,1.043865
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],138,0.114593,0.53415,0.834483
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],210,0.177679,0.505456,1.249967
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],324,0.135896,0.4828,0.960111
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],144,0.11969,0.534757,0.860114
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],180,0.152404,0.435641,1.058567
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],412,0.171613,0.578743,1.206528
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],168,0.13926,0.597737,0.99163
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],244,0.204292,0.562892,1.41813
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],422,0.174327,0.573634,1.221802
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],160,0.132186,0.557809,0.933763
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],262,0.216472,0.564775,1.505385
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],414,0.167886,0.557493,1.185498
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],167,0.134423,0.55539,0.964073
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],247,0.201862,0.549271,1.403434
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],518,0.20528,0.666771,1.467566
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],198,0.155939,0.632056,1.131103
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],320,0.255255,0.689385,1.798611
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],568,0.219457,0.705894,1.592627
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],244,0.1866,0.758711,1.379691
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],324,0.253006,0.652854,1.802081
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],687,0.248293,0.788598,1.870299
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],294,0.208364,0.832223,1.613773
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],393,0.289844,0.744822,2.122728
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],645,0.24138,0.742961,1.772809
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],258,0.190024,0.731769,1.429989
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],387,0.294429,0.739957,2.110044
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],613,0.231904,0.765213,1.701517
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],237,0.177607,0.714939,1.32668
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],376,0.28726,0.803197,2.070196
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],907,0.271491,0.930823,2.362692
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],389,0.22348,0.952734,2.040827
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],518,0.323718,0.898288,2.680117
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],836,0.268258,0.877443,2.196076
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],374,0.22843,0.96334,1.979056
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],462,0.312344,0.787544,2.410014
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],744,0.241236,0.842739,1.971271
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age_all,[All],346,0.216626,0.92173,1.847089
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age_all,[All],398,0.267671,0.775773,2.093637
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age_all,[All],680,0.238345,0.741743,1.817645
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age_all,[All],283,0.193383,0.743769,1.524494
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age_all,[All],397,0.285696,0.738749,2.10638
NAC,North America and the Caribbean,CAN,Canada,2018,All,Age_all,[All],768,0.26881,0.859327,2.071501
NAC,North America and the Caribbean,CAN,Canada,2018,Male,Age_all,[All],318,0.21815,0.859452,1.729001
NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age_all,[All],450,0.321582,0.857207,2.408679
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age_all,[All],3753,0.156157,0.789291,1.333585
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age_all,[All],1301,0.110481,0.729229,0.942388
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age_all,[All],2452,0.200037,0.826969,1.71028
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age_all,[All],3749,0.155147,0.781727,1.316377
NAC,North America and the Caribbean,USA,United States of America,2001,Male,Age_all,[All],1318,0.111372,0.725443,0.942687
NAC,North America and the Caribbean,USA,United States of America,2001,Female,Age_all,[All],2431,0.197161,0.809647,1.676739
NAC,North America and the Caribbean,USA,United States of America,2002,All,Age_all,[All],3937,0.161129,0.801932,1.365266
NAC,North America and the Caribbean,USA,United States of America,2002,Male,Age_all,[All],1439,0.11999,0.759745,1.015805
NAC,North America and the Caribbean,USA,United States of America,2002,Female,Age_all,[All],2498,0.200784,0.829972,1.702705
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age_all,[All],4132,0.168771,0.852227,1.420855
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age_all,[All],1501,0.124879,0.785736,1.049377
NAC,North America and the Caribbean,USA,United States of America,2003,Female,Age_all,[All],2631,0.211101,0.900872,1.780427
NAC,North America and the Caribbean,USA,United States of America,2004,All,Age_all,[All],4180,0.17434,0.850991,1.423437
NAC,North America and the Caribbean,USA,United States of America,2004,Male,Age_all,[All],1540,0.130324,0.790435,1.065468
NAC,North America and the Caribbean,USA,United States of America,2004,Female,Age_all,[All],2640,0.217115,0.89352,1.77041
NAC,North America and the Caribbean,USA,United States of America,2005,All,Age_all,[All],4234,0.172956,0.82853,1.428425
NAC,North America and the Caribbean,USA,United States of America,2005,Male,Age_all,[All],1628,0.134804,0.808141,1.11507
NAC,North America and the Caribbean,USA,United States of America,2005,Female,Age_all,[All],2606,0.210103,0.837611,1.73259
NAC,North America and the Caribbean,USA,United States of America,2006,All,Age_all,[All],3862,0.159172,0.766906,1.28992
NAC,North America and the Caribbean,USA,United States of America,2006,Male,Age_all,[All],1517,0.126208,0.749444,1.02839
NAC,North America and the Caribbean,USA,United States of America,2006,Female,Age_all,[All],2345,0.191536,0.775851,1.543918
NAC,North America and the Caribbean,USA,United States of America,2007,All,Age_all,[All],3883,0.160197,0.759516,1.287553
NAC,North America and the Caribbean,USA,United States of America,2007,Male,Age_all,[All],1580,0.131217,0.770027,1.06317
NAC,North America and the Caribbean,USA,United States of America,2007,Female,Age_all,[All],2303,0.188804,0.747173,1.505546
NAC,North America and the Caribbean,USA,United States of America,2008,All,Age_all,[All],3983,0.161126,0.772032,1.312416
NAC,North America and the Caribbean,USA,United States of America,2008,Male,Age_all,[All],1600,0.130482,0.759434,1.067885
NAC,North America and the Caribbean,USA,United States of America,2008,Female,Age_all,[All],2383,0.191289,0.774829,1.550855
NAC,North America and the Caribbean,USA,United States of America,2009,All,Age_all,[All],4014,0.164647,0.775505,1.310448
NAC,North America and the Caribbean,USA,United States of America,2009,Male,Age_all,[All],1645,0.135062,0.769225,1.087643
NAC,North America and the Caribbean,USA,United States of America,2009,Female,Age_all,[All],2369,0.194183,0.775623,1.527765
NAC,North America and the Caribbean,USA,United States of America,2010,All,Age_all,[All],3995,0.161788,0.753741,1.292832
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age_all,[All],1701,0.13795,0.776858,1.114599
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age_all,[All],2294,0.185563,0.727832,1.466747
NAC,North America and the Caribbean,USA,United States of America,2011,All,Age_all,[All],4147,0.164861,0.759306,1.330941
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age_all,[All],1709,0.136178,0.75119,1.11029
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age_all,[All],2438,0.193418,0.762821,1.546363
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age_all,[All],4201,0.16518,0.750963,1.337711
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age_all,[All],1775,0.139356,0.759175,1.143761
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age_all,[All],2426,0.19109,0.741655,1.527188
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age_all,[All],4330,0.166731,0.774596,1.368519
