Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],6714,3.078941,13.81924,21.80519
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],3322,2.972946,16.92159,21.78794
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],3392,3.190369,11.30284,21.82211
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],7098,3.233153,14.24772,22.88109
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],3441,3.072321,17.0576,22.39592
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],3657,3.40069,11.94852,23.35719
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],7868,3.518736,15.27379,25.07922
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],3951,3.488249,18.9366,25.42705
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],3917,3.550033,12.31251,24.73788
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],7970,3.523914,15.01125,25.16645
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],3991,3.473304,18.53153,25.44415
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],3979,3.576179,12.14808,24.89393
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],7823,3.452583,14.35074,24.45493
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],4020,3.510518,18.10845,25.37432
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],3803,3.393385,11.38466,23.55285
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],7881,3.424556,14.01546,24.39976
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],3981,3.431719,17.38551,24.88812
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],3900,3.417276,11.26132,23.92064
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],7261,3.183546,12.52998,22.31614
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],3775,3.278361,15.88989,23.39861
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],3486,3.086868,9.765685,21.25149
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],7394,3.14348,12.44196,22.45315
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],3906,3.291176,15.90356,23.91593
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],3488,2.993067,9.599076,21.01384
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],7521,3.151913,12.3122,22.56009
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],3904,3.241825,15.3579,23.60739
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],3617,3.060301,9.758319,21.52919
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],6923,2.903724,10.96571,20.51497
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],3616,3.005544,13.7574,21.59841
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],3307,2.800003,8.602621,19.44823
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],6942,2.891596,10.59553,20.32942
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],3704,3.070343,13.6168,21.86307
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],3238,2.711053,8.081942,18.81928
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],7194,2.971819,10.71256,20.82853
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],3825,3.16006,13.56377,22.32278
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],3369,2.783561,8.314635,19.35741
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],6993,2.835812,10.19847,20.02461
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],3702,2.979837,12.83742,21.37124
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],3291,2.689582,7.894497,18.6992
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],7045,2.79189,9.9156,19.95947
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],3786,2.981736,12.6077,21.62807
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],3259,2.599609,7.585952,18.31773
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],7071,2.732004,9.867749,19.82653
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],3818,2.919831,12.41503,21.58877
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],3253,2.540216,7.660478,18.09311
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],6882,2.487269,8.846422,18.73566
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],3883,2.751968,11.48449,21.31388
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],2999,2.211815,6.572982,16.19863
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],6838,2.559007,8.958822,18.79452
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],3686,2.714845,11.25603,20.43
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],3152,2.398034,6.937719,17.18568
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],7172,2.713244,9.68292,19.90747
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],3948,2.958611,12.46042,22.10014
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],3224,2.463099,7.27703,17.75083
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],7557,2.262026,8.548476,19.68562
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],4261,2.447936,11.00686,22.35466
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],3296,2.059794,6.370461,17.05341
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],7472,2.397638,8.743401,19.62808
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],4090,2.498076,10.90673,21.64261
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],3382,2.286464,6.843724,17.64214
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],7651,2.480772,9.291932,20.27176
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age_all,[All],4310,2.698439,11.91853,23.00854
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age_all,[All],3341,2.246957,6.990098,17.57498
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age_all,[All],6987,2.448992,8.650668,18.6763
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age_all,[All],3934,2.688223,11.12682,21.19208
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age_all,[All],3053,2.197051,6.490826,16.19843
NAC,North America and the Caribbean,CAN,Canada,2018,All,Age_all,[All],6864,2.402486,8.705043,18.51404
NAC,North America and the Caribbean,CAN,Canada,2018,Male,Age_all,[All],3785,2.596538,10.97672,20.57946
NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age_all,[All],3079,2.200339,6.708716,16.48072
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age_all,[All],69301,2.883516,16.45915,24.6253
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age_all,[All],31602,2.683644,18.38787,22.89112
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age_all,[All],37699,3.075529,14.93182,26.29521
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age_all,[All],71372,2.95362,16.60204,25.06067
NAC,North America and the Caribbean,USA,United States of America,2001,Male,Age_all,[All],32841,2.77509,18.66461,23.48921
NAC,North America and the Caribbean,USA,United States of America,2001,Female,Age_all,[All],38531,3.12497,14.91719,26.57608
