Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],40,0.018343,0.085646,0.129909
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],19,0.017004,0.102985,0.124615
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],21,0.019752,0.071058,0.135101
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],40,0.01822,0.100536,0.128944
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],27,0.024107,0.154622,0.175731
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],13,0.012089,0.057308,0.083031
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],37,0.016547,0.073387,0.117937
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],20,0.017658,0.094927,0.128712
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],17,0.015407,0.058632,0.107364
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],42,0.01857,0.083977,0.132621
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],22,0.019146,0.103497,0.140258
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],20,0.017975,0.064708,0.125127
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],52,0.02295,0.09844,0.162554
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],29,0.025325,0.132695,0.183049
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],23,0.020523,0.073969,0.142444
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],38,0.016512,0.068192,0.117649
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],17,0.014654,0.071145,0.106279
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],21,0.018401,0.069195,0.128803
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],63,0.027622,0.123587,0.193626
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],30,0.026053,0.136293,0.185949
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],33,0.029222,0.115744,0.201176
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],60,0.025508,0.104493,0.1822
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],32,0.026963,0.12921,0.195932
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],28,0.024027,0.089667,0.168689
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],42,0.017601,0.074148,0.125984
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],21,0.017438,0.085113,0.126986
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],21,0.017768,0.06785,0.124997
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],63,0.026424,0.109021,0.186688
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],34,0.02826,0.13822,0.203082
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],29,0.024554,0.084328,0.170547
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],49,0.02041,0.079329,0.143495
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],22,0.018236,0.090855,0.129856
