Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
OA,Oceania,AUS,Australia,2000,All,Age_all,[All],905,0.70272705,2.74196233,4.72501459
OA,Oceania,AUS,Australia,2000,Male,Age_all,[All],354,0.52790122,2.82111239,3.72422591
OA,Oceania,AUS,Australia,2000,Female,Age_all,[All],551,0.89265463,2.62238102,5.71099919
OA,Oceania,AUS,Australia,2001,All,Age_all,[All],914,0.71041607,2.62818176,4.70812703
OA,Oceania,AUS,Australia,2001,Male,Age_all,[All],337,0.50437776,2.55064197,3.49924387
OA,Oceania,AUS,Australia,2001,Female,Age_all,[All],577,0.93302286,2.55455128,5.8982347
OA,Oceania,AUS,Australia,2002,All,Age_all,[All],1026,0.77115606,2.81109492,5.21704058
OA,Oceania,AUS,Australia,2002,Male,Age_all,[All],356,0.51836105,2.59965978,3.64493015
OA,Oceania,AUS,Australia,2002,Female,Age_all,[All],670,1.04087371,2.84274761,6.76813413
OA,Oceania,AUS,Australia,2003,All,Age_all,[All],1005,0.76261155,2.69216964,5.05720275
OA,Oceania,AUS,Australia,2003,Male,Age_all,[All],361,0.53135119,2.55515547,3.65627121
OA,Oceania,AUS,Australia,2003,Female,Age_all,[All],644,1.00870873,2.66961231,6.44051589
OA,Oceania,AUS,Australia,2004,All,Age_all,[All],993,0.75048748,2.56101165,4.93226064
OA,Oceania,AUS,Australia,2004,Male,Age_all,[All],385,0.56395383,2.63324615,3.85042393
OA,Oceania,AUS,Australia,2004,Female,Age_all,[All],608,0.94931768,2.45197331,5.99968995
OA,Oceania,AUS,Australia,2006,All,Age_all,[All],1138,0.8509111,2.75519511,5.57985615
OA,Oceania,AUS,Australia,2006,Male,Age_all,[All],412,0.60096855,2.69555069,4.06790478
OA,Oceania,AUS,Australia,2006,Female,Age_all,[All],726,1.11378734,2.67465411,7.07138702
OA,Oceania,AUS,Australia,2007,All,Age_all,[All],1185,0.85960509,2.64003825,5.62345569
OA,Oceania,AUS,Australia,2007,Male,Age_all,[All],414,0.58665986,2.48612171,3.95206847
OA,Oceania,AUS,Australia,2007,Female,Age_all,[All],771,1.14587204,2.65299319,7.27569554
OA,Oceania,AUS,Australia,2008,All,Age_all,[All],1338,0.92951523,2.91138663,6.22367845
OA,Oceania,AUS,Australia,2008,Male,Age_all,[All],472,0.64175776,2.75649607,4.41281388
OA,Oceania,AUS,Australia,2008,Female,Age_all,[All],866,1.23014858,2.88195267,8.01672441
OA,Oceania,AUS,Australia,2009,All,Age_all,[All],1313,0.93279341,2.75623795,5.98130371
OA,Oceania,AUS,Australia,2009,Male,Age_all,[All],458,0.63329646,2.55978786,4.19016276
OA,Oceania,AUS,Australia,2009,Female,Age_all,[All],855,1.24926943,2.78200647,7.75765415
OA,Oceania,AUS,Australia,2010,All,Age_all,[All],1246,0.86845609,2.5069105,5.58806665
OA,Oceania,AUS,Australia,2010,Male,Age_all,[All],417,0.56747047,2.24794071,3.75667418
OA,Oceania,AUS,Australia,2010,Female,Age_all,[All],829,1.18447185,2.58257704,7.40358968
OA,Oceania,AUS,Australia,2011,All,Age_all,[All],1289,0.87727656,2.48468525,5.76991323
OA,Oceania,AUS,Australia,2011,Male,Age_all,[All],448,0.59471658,2.30407167,4.0294169
OA,Oceania,AUS,Australia,2011,Female,Age_all,[All],841,1.1745482,2.54072724,7.49434805
OA,Oceania,AUS,Australia,2012,All,Age_all,[All],1361,0.92523352,2.60540413,5.98814146
OA,Oceania,AUS,Australia,2012,Male,Age_all,[All],515,0.68855791,2.62506508,4.55235621
OA,Oceania,AUS,Australia,2012,Female,Age_all,[All],846,1.17005975,2.47451468,7.4110211
OA,Oceania,AUS,Australia,2013,All,Age_all,[All],1582,1.07124961,2.94810683,6.84334405
OA,Oceania,AUS,Australia,2013,Male,Age_all,[All],574,0.7574358,2.84765209,4.98888062
OA,Oceania,AUS,Australia,2013,Female,Age_all,[All],1008,1.40202515,2.86195548,8.6808501
OA,Oceania,AUS,Australia,2014,All,Age_all,[All],1651,1.07500977,2.9428629,7.02429504
OA,Oceania,AUS,Australia,2014,Male,Age_all,[All],606,0.77354131,2.83474863,5.18862626
OA,Oceania,AUS,Australia,2014,Female,Age_all,[All],1045,1.38890735,2.90767688,8.83739913
OA,Oceania,AUS,Australia,2017,All,Age_all,[All],1742,1.08143007,2.95029918,7.08297021
OA,Oceania,AUS,Australia,2017,Male,Age_all,[All],664,0.80025068,2.8916441,5.44074277
OA,Oceania,AUS,Australia,2017,Female,Age_all,[All],1078,1.38012265,2.87814981,8.7005748
OA,Oceania,AUS,Australia,2016,All,Age_all,[All],1657,1.04539949,2.82618304,6.84968116
OA,Oceania,AUS,Australia,2016,Male,Age_all,[All],669,0.81717908,2.94161861,5.57358849
OA,Oceania,AUS,Australia,2016,Female,Age_all,[All],988,1.28919451,2.63868659,8.10642189
OA,Oceania,AUS,Australia,2015,All,Age_all,[All],1745,1.09712547,3.07633934,7.32700859
OA,Oceania,AUS,Australia,2015,Male,Age_all,[All],662,0.81396779,3.02738402,5.59705341
OA,Oceania,AUS,Australia,2015,Female,Age_all,[All],1083,1.39342786,2.99405178,9.03377556
OA,Oceania,AUS,Australia,2022,All,Age_all,[All],1927,1.00922284,2.86098055,7.40995957
OA,Oceania,AUS,Australia,2022,Male,Age_all,[All],764,0.76458108,2.83713663,5.91916084
OA,Oceania,AUS,Australia,2022,Female,Age_all,[All],1163,1.27781135,2.776056,8.87901144
OA,Oceania,AUS,Australia,2021,All,Age_all,[All],1832,1.0684147,2.80302537,7.13245324
OA,Oceania,AUS,Australia,2021,Male,Age_all,[All],757,0.84674668,2.8745054,5.93752966
OA,Oceania,AUS,Australia,2021,Female,Age_all,[All],1075,1.30988936,2.6569913,8.31014095
OA,Oceania,AUS,Australia,2020,All,Age_all,[All],1595,0.98884067,2.51676543,6.2185059
OA,Oceania,AUS,Australia,2020,Male,Age_all,[All],627,0.74123989,2.46668687,4.92589978
OA,Oceania,AUS,Australia,2020,Female,Age_all,[All],968,1.26186255,2.47252535,7.49190692
OA,Oceania,AUS,Australia,2019,All,Age_all,[All],1653,0.97832649,2.7386543,6.52461556
OA,Oceania,AUS,Australia,2019,Male,Age_all,[All],668,0.75813463,2.81120242,5.31118917
OA,Oceania,AUS,Australia,2019,Female,Age_all,[All],985,1.21829044,2.56377629,7.72088492
OA,Oceania,AUS,Australia,2018,All,Age_all,[All],1598,1.00718518,2.6469077,6.40140802
OA,Oceania,AUS,Australia,2018,Male,Age_all,[All],624,0.75690494,2.6039294,5.03622978
OA,Oceania,AUS,Australia,2018,Female,Age_all,[All],974,1.27789659,2.59684672,7.74673613
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],1074,0.49252048,2.00541789,3.48805102
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],383,0.34275691,1.93763869,2.5119755
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],691,0.64992476,1.94361602,4.44548237
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],1043,0.4750886,1.91456576,3.36221128
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],401,0.35803571,1.97161284,2.60992877
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],642,0.59700382,1.82484704,4.10044245
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],1193,0.53353488,2.10364863,3.8026829
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],474,0.41848392,2.25581915,3.05047336
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],719,0.65163998,1.92562242,4.54085714
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],1217,0.5380932,2.07814662,3.84285653
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],486,0.4229581,2.22251251,3.09843617
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],731,0.65699597,1.89763636,4.5733754
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],1308,0.57726936,2.15926705,4.08884753
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],504,0.4401247,2.24833845,3.18125845
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],804,0.71740236,2.01267243,4.9793558
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],1304,0.56663132,2.0803025,4.0372147
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],493,0.42497802,2.12173996,3.08210105
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],811,0.71061809,1.94494077,4.97426569
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],1358,0.59540773,2.08196729,4.1737116
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],529,0.45940477,2.17381274,3.27890414
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],829,0.73408306,1.94544202,5.05378255
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],1400,0.59519508,2.04623102,4.25133995
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],577,0.48617723,2.26646417,3.53289669
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],823,0.70621954,1.79516458,4.95825308
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],1479,0.61982172,2.11670182,4.43642708
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],608,0.50487436,2.28546574,3.67656063
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],871,0.73694275,1.93851242,5.1843871
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],1536,0.64424666,2.10232548,4.55163802
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],616,0.51200638,2.25408904,3.67937518
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],920,0.77895468,1.91464493,5.41045347
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],1561,0.65021347,2.12654535,4.57133633
