Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],79,0.036228,0.189917,0.25657
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],56,0.050116,0.294317,0.367286
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],23,0.021633,0.085556,0.147968
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],240,0.10932,0.573625,0.773663
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],141,0.125893,0.728451,0.917706
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],99,0.092061,0.414517,0.632311
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],294,0.131483,0.686221,0.937124
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],184,0.162449,0.919847,1.18415
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],110,0.099695,0.460291,0.694707
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],293,0.129549,0.668675,0.925191
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],186,0.161873,0.911914,1.185821
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],107,0.096168,0.437554,0.669427
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],317,0.139904,0.713618,0.990952
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],192,0.167667,0.911134,1.211908
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],125,0.111536,0.526905,0.774154
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],314,0.136443,0.691146,0.972151
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],202,0.174129,0.938029,1.262849
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],112,0.098137,0.45187,0.686952
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],360,0.15784,0.790881,1.106433
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],231,0.20061,1.057555,1.431809
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],129,0.11423,0.531744,0.786415
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],362,0.1539,0.774131,1.099275
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],235,0.19801,1.041769,1.438875
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],127,0.108979,0.510681,0.765125
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],377,0.157994,0.784443,1.130854
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],247,0.205105,1.0678,1.493603
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],130,0.109991,0.507755,0.773789
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],379,0.158965,0.755595,1.123093
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],250,0.207795,1.039287,1.493253
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],129,0.109223,0.480652,0.75864
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],401,0.167031,0.784549,1.174315
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],268,0.222152,1.086658,1.581885
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],133,0.111356,0.490522,0.772997
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],381,0.15739,0.740087,1.103096
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],257,0.212323,1.02641,1.499857
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],124,0.102452,0.459756,0.712472
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],441,0.178835,0.833106,1.262813
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],298,0.239868,1.148859,1.720322
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],143,0.116867,0.523958,0.812514
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],465,0.184277,0.849467,1.31741
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],300,0.236271,1.130959,1.713793
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],165,0.131616,0.569809,0.927409
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],485,0.187388,0.87091,1.359902
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],311,0.237839,1.150392,1.75854
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],174,0.135874,0.594082,0.967784
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],305,0.110232,0.516633,0.830337
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],191,0.135366,0.659419,1.048404
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],114,0.084077,0.378304,0.615753
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],373,0.139589,0.626549,1.025206
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],247,0.181923,0.854197,1.369021
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],126,0.095861,0.402098,0.686991
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],451,0.170618,0.783129,1.25185
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],296,0.221821,1.052078,1.656951
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],155,0.118418,0.516883,0.853405
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],146,0.043702,0.211822,0.380323
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],102,0.058599,0.305024,0.535127
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],44,0.027497,0.123114,0.227655
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],208,0.066744,0.313849,0.546392
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],140,0.085509,0.430979,0.740823
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],68,0.045973,0.200011,0.354721
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],203,0.065821,0.321375,0.53786
