Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],57,0.026139,0.144241,0.18512
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],38,0.034007,0.201757,0.24923
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],19,0.017871,0.084131,0.122235
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],79,0.035985,0.193224,0.254664
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],55,0.049107,0.288897,0.35797
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],24,0.022318,0.101177,0.153288
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],83,0.037119,0.193471,0.264562
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],50,0.044144,0.251142,0.32178
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],33,0.029908,0.138354,0.208412
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],97,0.042888,0.223819,0.306292
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],70,0.06092,0.349127,0.446277
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],27,0.024267,0.107321,0.168921
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],87,0.038396,0.194828,0.271965
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],71,0.062002,0.339798,0.448153
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],16,0.014277,0.060737,0.099092
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],81,0.035197,0.178524,0.250778
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],57,0.049135,0.27422,0.356348
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],24,0.021029,0.093579,0.147204
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],95,0.041652,0.201939,0.291975
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],62,0.053843,0.280829,0.384295
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],33,0.029222,0.124552,0.201176
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],90,0.038263,0.18457,0.2733
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],60,0.050556,0.266385,0.367372
