Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],3701,1.697224,7.347491,12.01981
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],1603,1.434567,8.162401,10.51357
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],2098,1.973288,6.705556,13.49728
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],3623,1.650284,7.0526,11.67909
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],1569,1.400893,7.841729,10.21192
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],2054,1.91004,6.401821,13.11886
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],3694,1.652035,7.032921,11.77461
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],1615,1.425847,7.80038,10.39349
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],2079,1.884227,6.387385,13.12996
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],3876,1.713763,7.079978,12.23904
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],1673,1.455985,7.832122,10.66602
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],2203,1.979976,6.376217,13.78269
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],3929,1.734015,7.057428,12.28217
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],1707,1.49066,7.762542,10.77462
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],2222,1.982672,6.427411,13.76135
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],4000,1.738133,6.952497,12.38409
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],1679,1.447339,7.324337,10.49665
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],2321,2.033717,6.641489,14.23585
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],3930,1.723087,6.646129,12.07856
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],1702,1.478085,7.185787,10.54952
