Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],2123,0.97357632,4.70193264,6.89490905
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],927,0.82959701,4.99571009,6.07989892
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],1196,1.12490594,4.40295413,7.69435154
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],2314,1.05403165,5.02592918,7.45940259
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],1029,0.91875,5.43526538,6.69729851
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],1285,1.19493756,4.61456825,8.20727187
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],2456,1.09837525,5.17462667,7.82849052
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],1096,0.96763371,5.6321554,7.0534152
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],1360,1.23258744,4.73516237,8.5891039
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],2581,1.14118204,5.1895574,8.14988719
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],1173,1.02084331,5.78259549,7.47832434
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],1408,1.26545873,4.59759902,8.80890911
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],2651,1.16998552,5.26590123,8.28710612
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],1225,1.06974754,5.91303459,7.7322254
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],1426,1.27240767,4.63524407,8.831544
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],2720,1.18193037,5.26743765,8.42118403
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],1217,1.04908367,5.78592385,7.60835086
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],1503,1.31696546,4.69571101,9.21864529
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],2615,1.14653256,4.93975179,8.03700724
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],1159,1.00652198,5.28048775,7.18383725
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],1456,1.28929425,4.57619752,8.87612472
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],2857,1.21462309,5.18420903,8.67577016
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],1336,1.12570673,5.83835125,8.18015593
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],1521,1.30517608,4.54518358,9.16343005
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],2908,1.21868936,5.16224389,8.72287353
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],1352,1.12268115,5.75903518,8.17550981
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],1556,1.3165131,4.55543226,9.26166054
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],3033,1.27213549,5.2321376,8.98770711
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],1464,1.21684634,6.01987065,8.74448908
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],1569,1.3284564,4.52831948,9.22717553
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],3035,1.26418827,5.05067579,8.88789607
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],1404,1.1638124,5.6188571,8.28719107
