Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],2123,0.973576,4.701933,6.894909
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],927,0.829597,4.99571,6.079899
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],1196,1.124906,4.402954,7.694352
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],2314,1.054032,5.025929,7.459403
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],1029,0.91875,5.435265,6.697299
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],1285,1.194938,4.614568,8.207272
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],2456,1.098375,5.174627,7.828491
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],1096,0.967634,5.632155,7.053415
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],1360,1.232587,4.735162,8.589104
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],2581,1.141182,5.189557,8.149887
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],1173,1.020843,5.782595,7.478324
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],1408,1.265459,4.597599,8.808909
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],2651,1.169986,5.265901,8.287106
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],1225,1.069748,5.913035,7.732225
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],1426,1.272408,4.635244,8.831544
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],2720,1.18193,5.267438,8.421184
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],1217,1.049084,5.785924,7.608351
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],1503,1.316965,4.695711,9.218645
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],2615,1.146533,4.939752,8.037007
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],1159,1.006522,5.280488,7.183837
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],1456,1.289294,4.576198,8.876125
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],2857,1.214623,5.184209,8.67577
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],1336,1.125707,5.838351,8.180156
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],1521,1.305176,4.545184,9.16343
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],2908,1.218689,5.162244,8.722874
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],1352,1.122681,5.759035,8.17551
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],1556,1.316513,4.555432,9.261661
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],3033,1.272135,5.232138,8.987707
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],1464,1.216846,6.019871,8.744489
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],1569,1.328456,4.528319,9.227176
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],3035,1.264188,5.050676,8.887896
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],1404,1.163812,5.618857,8.287191
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],1631,1.365573,4.475825,9.479385
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],2958,1.22194,4.799528,8.564192
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],1372,1.133491,5.273591,8.007019
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],1586,1.310397,4.324107,9.112748
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],2965,1.202371,4.569484,8.490343
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],1390,1.118847,5.086149,8.024319
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],1575,1.287175,4.06665,8.949022
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],3031,1.201167,4.677446,8.587247
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],1409,1.109685,5.151114,8.049115
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],1622,1.293822,4.195599,9.116711
