Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],2058,0.943768,4.430809,6.683807
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],1020,0.912825,5.290392,6.689856
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],1038,0.976298,3.815969,6.677874
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],1810,0.824459,3.779589,5.83471
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],845,0.754464,4.408336,5.499725
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],965,0.897366,3.268813,6.163438
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],1971,0.881473,3.979751,6.282555
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],931,0.821959,4.623497,5.991542
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],1040,0.942567,3.498016,6.568138
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],2012,0.8896,3.928282,6.353186
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],991,0.862452,4.748574,6.318005
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],1021,0.917637,3.326713,6.38771
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],2029,0.895474,3.787512,6.342715
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],939,0.819994,4.335322,5.926987
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],1090,0.972598,3.377405,6.750619
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],2170,0.942937,3.992014,6.718371
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],1023,0.881851,4.583921,6.395516
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],1147,1.00503,3.549825,7.035121
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],2280,0.999654,4.070835,7.00741
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],1070,0.929231,4.626613,6.632188
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],1210,1.07146,3.63998,7.37645
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],2467,1.048819,4.248184,7.491468
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],1227,1.033864,5.101327,7.512763
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],1240,1.064049,3.610095,7.470515
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],2620,1.097994,4.374652,7.858985
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],1252,1.039643,5.042291,7.570812
