Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,HKG,"China, Hong Kong SAR",2000,All,Age_all,[All],487,1.4328165,6.01992358,7.30682671
AS,Asia,HKG,"China, Hong Kong SAR",2000,Male,Age_all,[All],317,1.64504411,8.16932102,9.67495803
AS,Asia,HKG,"China, Hong Kong SAR",2000,Female,Age_all,[All],170,1.15496977,3.7915393,5.01696916
AS,Asia,HKG,"China, Hong Kong SAR",2001,All,Age_all,[All],373,1.11995196,4.52098748,5.55530733
AS,Asia,HKG,"China, Hong Kong SAR",2001,Male,Age_all,[All],265,1.39422318,6.74081106,8.07434491
AS,Asia,HKG,"China, Hong Kong SAR",2001,Female,Age_all,[All],108,0.75556177,2.23670331,3.1465781
AS,Asia,HKG,"China, Hong Kong SAR",2002,All,Age_all,[All],342,0.99661965,3.97388705,5.07109918
AS,Asia,HKG,"China, Hong Kong SAR",2002,Male,Age_all,[All],239,1.2241971,5.85403095,7.28747408
AS,Asia,HKG,"China, Hong Kong SAR",2002,Female,Age_all,[All],103,0.69636941,2.0884544,2.97301198
AS,Asia,HKG,"China, Hong Kong SAR",2003,All,Age_all,[All],336,0.92249403,3.83705736,4.99197718
AS,Asia,HKG,"China, Hong Kong SAR",2003,Male,Age_all,[All],222,1.08589317,5.33563839,6.81169648
AS,Asia,HKG,"China, Hong Kong SAR",2003,Female,Age_all,[All],114,0.71352569,2.22173361,3.28369387
AS,Asia,HKG,"China, Hong Kong SAR",2004,All,Age_all,[All],327,0.87618231,3.5744795,4.82052038
AS,Asia,HKG,"China, Hong Kong SAR",2004,Male,Age_all,[All],227,1.07976978,5.25906655,6.94869597
AS,Asia,HKG,"China, Hong Kong SAR",2004,Female,Age_all,[All],100,0.61376051,1.94387131,2.84357494
AS,Asia,HKG,"China, Hong Kong SAR",2005,All,Age_all,[All],370,0.95649252,3.84907992,5.43063465
AS,Asia,HKG,"China, Hong Kong SAR",2005,Male,Age_all,[All],228,1.05712166,5.11235227,6.98529412
AS,Asia,HKG,"China, Hong Kong SAR",2005,Female,Age_all,[All],142,0.82992402,2.65621605,4.00090161
AS,Asia,HKG,"China, Hong Kong SAR",2006,All,Age_all,[All],363,0.97019912,3.69747175,5.29378309
AS,Asia,HKG,"China, Hong Kong SAR",2006,Male,Age_all,[All],246,1.17137279,5.44546887,7.52270573
AS,Asia,HKG,"China, Hong Kong SAR",2006,Female,Age_all,[All],117,0.71328416,1.97737871,3.26177865
AS,Asia,HKG,"China, Hong Kong SAR",2007,All,Age_all,[All],399,0.99842354,3.84555096,5.76898052
AS,Asia,HKG,"China, Hong Kong SAR",2007,Male,Age_all,[All],262,1.15816462,5.56073152,7.97831846
AS,Asia,HKG,"China, Hong Kong SAR",2007,Female,Age_all,[All],137,0.79030862,2.20424084,3.77161106
AS,Asia,HKG,"China, Hong Kong SAR",2008,All,Age_all,[All],352,0.84758006,3.29015475,5.0590704
AS,Asia,HKG,"China, Hong Kong SAR",2008,Male,Age_all,[All],225,0.97826087,4.59203716,6.83849006
AS,Asia,HKG,"China, Hong Kong SAR",2008,Female,Age_all,[All],127,0.68541206,2.06428014,3.46275494
AS,Asia,HKG,"China, Hong Kong SAR",2009,All,Age_all,[All],338,0.82344629,3.00867399,4.84740707
AS,Asia,HKG,"China, Hong Kong SAR",2009,Male,Age_all,[All],224,0.97992038,4.4182113,6.81928885
AS,Asia,HKG,"China, Hong Kong SAR",2009,Female,Age_all,[All],114,0.62695925,1.64419946,3.09110629
AS,Asia,HKG,"China, Hong Kong SAR",2010,All,Age_all,[All],356,0.83374318,3.02562732,5.06819282
AS,Asia,HKG,"China, Hong Kong SAR",2010,Male,Age_all,[All],239,1.0033164,4.51497994,7.25495553
AS,Asia,HKG,"China, Hong Kong SAR",2010,Female,Age_all,[All],117,0.62009752,1.59573132,3.13681332
AS,Asia,HKG,"China, Hong Kong SAR",2011,All,Age_all,[All],331,0.78458329,2.75042739,4.68069461
AS,Asia,HKG,"China, Hong Kong SAR",2011,Male,Age_all,[All],213,0.90223653,3.92499648,6.44868302
AS,Asia,HKG,"China, Hong Kong SAR",2011,Female,Age_all,[All],118,0.63522825,1.71599933,3.13113623
AS,Asia,HKG,"China, Hong Kong SAR",2012,All,Age_all,[All],318,0.72815534,2.62400972,4.44749024
AS,Asia,HKG,"China, Hong Kong SAR",2012,Male,Age_all,[All],205,0.84202744,3.67576785,6.16115168
AS,Asia,HKG,"China, Hong Kong SAR",2012,Female,Age_all,[All],113,0.58485586,1.64398545,2.95594852
AS,Asia,HKG,"China, Hong Kong SAR",2013,All,Age_all,[All],283,0.65208876,2.23294534,3.94210812
AS,Asia,HKG,"China, Hong Kong SAR",2013,Male,Age_all,[All],191,0.79092302,3.35525929,5.73590799
AS,Asia,HKG,"China, Hong Kong SAR",2013,Female,Age_all,[All],92,0.47807109,1.22515203,2.39023123
AS,Asia,HKG,"China, Hong Kong SAR",2014,All,Age_all,[All],353,0.7722599,2.64105093,4.88277198
AS,Asia,HKG,"China, Hong Kong SAR",2014,Male,Age_all,[All],226,0.89053511,3.84098937,6.75736283
AS,Asia,HKG,"China, Hong Kong SAR",2014,Female,Age_all,[All],127,0.62475403,1.60538714,3.26898327
AS,Asia,HKG,"China, Hong Kong SAR",2017,All,Age_all,[All],299,0.65165748,1.97155382,4.04507759
AS,Asia,HKG,"China, Hong Kong SAR",2017,Male,Age_all,[All],187,0.73598866,2.85937784,5.51215917
AS,Asia,HKG,"China, Hong Kong SAR",2017,Female,Age_all,[All],112,0.54711543,1.21581202,2.80056011
AS,Asia,HKG,"China, Hong Kong SAR",2016,All,Age_all,[All],299,0.64077836,2.09682135,4.0754573
AS,Asia,HKG,"China, Hong Kong SAR",2016,Male,Age_all,[All],203,0.78070918,3.27908742,6.01410203
AS,Asia,HKG,"China, Hong Kong SAR",2016,Female,Age_all,[All],96,0.46468851,1.04755756,2.42350803
AS,Asia,HKG,"China, Hong Kong SAR",2015,All,Age_all,[All],313,0.66941848,2.33173629,4.29278729
AS,Asia,HKG,"China, Hong Kong SAR",2015,Male,Age_all,[All],217,0.8407594,3.66661623,6.44758735
AS,Asia,HKG,"China, Hong Kong SAR",2015,Female,Age_all,[All],96,0.45838705,1.15200897,2.44542375
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],2167,0.99375407,5.33191722,7.03780872
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],1468,1.31375234,7.80681374,9.6281463
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],699,0.65744921,3.10019853,4.4969496
