Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],1,0.00045859,0.00262692,0.00324772
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],1,0.00089493,0.00527321,0.00655868
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],2,0.000911,0.00542705,0.00644719
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],2,0.00178571,0.01100306,0.0130171
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],3,0.0013036,0.00843989,0.00928807
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],2,0.00172405,0.01229895,0.01250345
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],1,0.00087622,0.00459909,0.0061335
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],2,0.00085028,0.00369167,0.00607334
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],2,0.00168519,0.00823754,0.01224574
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],2,0.00083816,0.0059538,0.00599923
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],1,0.00083039,0.00434658,0.00604697
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],1,0.00084609,0.00774186,0.00595222
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],2,0.00083886,0.00476563,0.00592661
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],2,0.00166236,0.0095014,0.01194602
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],4,0.00166615,0.00864555,0.01171387
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],3,0.00248678,0.01369782,0.01770767
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],1,0.00083726,0.00372296,0.00581201
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],1,0.0004131,0.00278035,0.00289526
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],1,0.00082616,0.00552365,0.00583602
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],3,0.00121656,0.00555655,0.00859057
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],3,0.00241478,0.01146471,0.01731867
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],1,0.00038637,0.00281091,0.00280392
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],1,0.00078088,0.00562748,0.00556198
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],0,0,0,0
