Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,HKG,"China, Hong Kong SAR",2001,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2001,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2001,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2002,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2002,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2002,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2003,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2003,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2003,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2004,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2004,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2004,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2005,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2005,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2005,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2006,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2006,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2006,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2007,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2007,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2007,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2008,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2008,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2008,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2009,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2009,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2009,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2010,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2010,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2010,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2011,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2011,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2011,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2012,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2012,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2012,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2013,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2013,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2013,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2014,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2014,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2014,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2017,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2017,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2017,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2016,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2016,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2016,Female,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2015,All,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2015,Male,Age_all,[All],0,0,0,0
AS,Asia,HKG,"China, Hong Kong SAR",2015,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],1,0.00037831,0.00082692,0.00277572
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],1,0.00076399,0.00126553,0.00550584
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],1,0.00029933,0.00257122,0.00260495
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],1,0.0005745,0.00517076,0.00524634
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],1,0.00032088,0.00290416,0.00262688
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],1,0.00061078,0.00570413,0.00529159
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age_all,[All],0,0,0,0
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age_all,[All],0,0,0,0
