Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],173,0.079335,0.292387,0.561856
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],47,0.042062,0.231479,0.308258
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],126,0.11851,0.326446,0.810609
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],161,0.073336,0.263938,0.518999
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],31,0.027679,0.149736,0.201765
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],130,0.120889,0.323081,0.830308
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],179,0.080053,0.281546,0.570562
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],47,0.041495,0.219434,0.302473
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],132,0.119633,0.31215,0.833648
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],174,0.076934,0.270137,0.549431
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],41,0.035682,0.18622,0.261391
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],133,0.119536,0.305208,0.832092
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],178,0.078558,0.266349,0.556433
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],53,0.046283,0.228386,0.334537
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],125,0.111536,0.271383,0.774154
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],208,0.090383,0.304042,0.643973
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],53,0.045687,0.22244,0.331341
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],155,0.135815,0.351135,0.950692
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],179,0.078482,0.254978,0.550143
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],47,0.040817,0.187599,0.29132
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],132,0.116887,0.289069,0.804704
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],187,0.079501,0.260505,0.567858
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],64,0.053926,0.251446,0.391864
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],123,0.105547,0.251589,0.741027
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],149,0.062443,0.19946,0.446942
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],42,0.034876,0.155813,0.253973
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],107,0.090531,0.222994,0.636888
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],146,0.061237,0.183808,0.432643
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],48,0.039897,0.169095,0.286705
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],98,0.082976,0.18,0.576331
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],128,0.053317,0.151903,0.374844
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],45,0.037302,0.15098,0.265615
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],83,0.069493,0.145635,0.482397
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],156,0.064443,0.188781,0.451661
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],50,0.041308,0.16315,0.291801
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],106,0.08758,0.200082,0.609049
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],153,0.062045,0.165375,0.438119
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],37,0.029782,0.113094,0.213597
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],116,0.094801,0.192669,0.659103
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],161,0.063803,0.175792,0.456136
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],45,0.035441,0.128367,0.257069
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],116,0.09253,0.208179,0.651997
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],145,0.056023,0.157133,0.406569
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],38,0.029061,0.106384,0.21487
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],107,0.083555,0.192061,0.595132
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],147,0.053128,0.133916,0.400195
