Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],1533,0.703011,3.915557,4.978754
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],897,0.802749,4.914301,5.883138
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],636,0.598194,3.02266,4.091645
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],1552,0.706939,3.896292,5.003022
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],857,0.765179,4.630733,5.577828
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],695,0.646289,3.226923,4.438952
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],1517,0.678435,3.692493,4.835432
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],865,0.763689,4.489958,5.566792
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],652,0.590917,2.984318,4.117717
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],1587,0.701688,3.759968,5.011186
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],897,0.780645,4.534521,5.718719
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],690,0.620147,3.055998,4.316866
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],1609,0.710112,3.767224,5.029783
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],925,0.807769,4.606319,5.838619
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],684,0.610327,2.984428,4.236168
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],1571,0.682652,3.617569,4.863853
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],898,0.774098,4.364748,5.61405
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],673,0.589699,2.960225,4.127843
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],1658,0.726941,3.727377,5.095739
