Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],424,0.19444,0.836618,1.377033
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],234,0.209413,1.18085,1.534732
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],190,0.178706,0.576903,1.222347
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],461,0.209986,0.904635,1.486078
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],251,0.224107,1.237035,1.633646
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],210,0.195282,0.674842,1.341266
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],432,0.1932,0.812864,1.376998
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],215,0.189819,1.042878,1.383654
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],217,0.19667,0.64116,1.370467
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],403,0.178185,0.740734,1.272532
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],187,0.162743,0.868812,1.192197
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],216,0.194133,0.620158,1.351367
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],422,0.186244,0.784052,1.319185
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],216,0.188625,0.977818,1.363396
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],206,0.183812,0.635035,1.275805
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],386,0.16773,0.679766,1.195065
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],201,0.173267,0.87797,1.256597
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],185,0.162102,0.524405,1.134697
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],373,0.16354,0.639782,1.146388
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],171,0.148503,0.722971,1.05991
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],202,0.178872,0.568124,1.23144
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],408,0.173457,0.690391,1.238962
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],211,0.177788,0.864715,1.291926
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],197,0.169046,0.548029,1.186848
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],426,0.178529,0.703922,1.277835
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],240,0.199293,0.959143,1.451274
