Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age_all,[All],5094,2.336033,9.219667,16.54388
NAC,North America and the Caribbean,CAN,Canada,2000,Male,Age_all,[All],2293,2.052067,11.57431,15.03906
NAC,North America and the Caribbean,CAN,Canada,2000,Female,Age_all,[All],2801,2.6345,7.726374,18.01997
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age_all,[All],4872,2.219206,8.629325,15.70536
NAC,North America and the Caribbean,CAN,Canada,2001,Male,Age_all,[All],2181,1.947321,10.74983,14.19515
NAC,North America and the Caribbean,CAN,Canada,2001,Female,Age_all,[All],2691,2.502395,7.298482,17.18737
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age_all,[All],4822,2.156501,8.281108,15.37011
NAC,North America and the Caribbean,CAN,Canada,2002,Male,Age_all,[All],2109,1.861989,10.03682,13.57268
NAC,North America and the Caribbean,CAN,Canada,2002,Female,Age_all,[All],2713,2.458831,7.169787,17.134
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age_all,[All],5057,2.235939,8.449509,15.96822
NAC,North America and the Caribbean,CAN,Canada,2003,Male,Age_all,[All],2215,1.927679,10.15493,14.12147
NAC,North America and the Caribbean,CAN,Canada,2003,Female,Age_all,[All],2842,2.554285,7.401689,17.78048
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age_all,[All],5831,2.573439,9.349425,18.22788
NAC,North America and the Caribbean,CAN,Canada,2004,Male,Age_all,[All],2596,2.266992,11.4818,16.38601
NAC,North America and the Caribbean,CAN,Canada,2004,Female,Age_all,[All],3235,2.886563,7.9487,20.03509
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age_all,[All],5950,2.585473,9.317888,18.42134
NAC,North America and the Caribbean,CAN,Canada,2005,Male,Age_all,[All],2561,2.207644,10.89666,16.01067
NAC,North America and the Caribbean,CAN,Canada,2005,Female,Age_all,[All],3389,2.969525,8.196529,20.78642
NAC,North America and the Caribbean,CAN,Canada,2006,All,Age_all,[All],5250,2.301834,8.002398,16.13548
NAC,North America and the Caribbean,CAN,Canada,2006,Male,Age_all,[All],2362,2.051255,9.68619,14.6404
NAC,North America and the Caribbean,CAN,Canada,2006,Female,Age_all,[All],2888,2.557336,6.828268,17.60594
NAC,North America and the Caribbean,CAN,Canada,2007,All,Age_all,[All],5568,2.367176,8.145783,16.90819
NAC,North America and the Caribbean,CAN,Canada,2007,Male,Age_all,[All],2491,2.098904,9.753575,15.25207
NAC,North America and the Caribbean,CAN,Canada,2007,Female,Age_all,[All],3077,2.640386,6.992416,18.53772
NAC,North America and the Caribbean,CAN,Canada,2008,All,Age_all,[All],5477,2.29531,7.783508,16.42888
NAC,North America and the Caribbean,CAN,Canada,2008,Male,Age_all,[All],2516,2.08925,9.404847,15.21419
NAC,North America and the Caribbean,CAN,Canada,2008,Female,Age_all,[All],2961,2.505267,6.656436,17.62454
NAC,North America and the Caribbean,CAN,Canada,2009,All,Age_all,[All],5914,2.480517,8.500371,17.52499
NAC,North America and the Caribbean,CAN,Canada,2009,Male,Age_all,[All],2724,2.264132,10.03319,16.27048
NAC,North America and the Caribbean,CAN,Canada,2009,Female,Age_all,[All],3190,2.700941,7.40343,18.76016
NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,[All],5192,2.162658,6.829614,15.2046
NAC,North America and the Caribbean,CAN,Canada,2010,Male,Age_all,[All],2369,1.963726,8.16104,13.98316
NAC,North America and the Caribbean,CAN,Canada,2010,Female,Age_all,[All],2823,2.363589,5.911876,16.4073
NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,[All],5839,2.412072,7.40626,16.90545
NAC,North America and the Caribbean,CAN,Canada,2011,Male,Age_all,[All],2640,2.181061,8.716831,15.40709
NAC,North America and the Caribbean,CAN,Canada,2011,Female,Age_all,[All],3199,2.643103,6.447161,18.38063
NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,[All],5793,2.349187,7.098043,16.58838
NAC,North America and the Caribbean,CAN,Canada,2012,Male,Age_all,[All],2622,2.110516,8.289231,15.13652
NAC,North America and the Caribbean,CAN,Canada,2012,Female,Age_all,[All],3171,2.591512,6.199314,18.01736
NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,[All],6690,2.651206,7.96216,18.95371
NAC,North America and the Caribbean,CAN,Canada,2013,Male,Age_all,[All],3046,2.398935,9.285136,17.40071
NAC,North America and the Caribbean,CAN,Canada,2013,Female,Age_all,[All],3644,2.906712,6.973539,20.48169
NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,[All],6735,2.602185,7.947559,18.88441
NAC,North America and the Caribbean,CAN,Canada,2014,Male,Age_all,[All],3011,2.302674,8.965414,17.02561
NAC,North America and the Caribbean,CAN,Canada,2014,Female,Age_all,[All],3724,2.908012,7.177689,20.71281
NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,[All],7499,2.710263,7.924984,20.41539
NAC,North America and the Caribbean,CAN,Canada,2017,Male,Age_all,[All],3355,2.377763,8.893941,18.41567
NAC,North America and the Caribbean,CAN,Canada,2017,Female,Age_all,[All],4144,3.056273,7.174472,22.38316
NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,[All],6337,2.371516,7.266046,17.4175
NAC,North America and the Caribbean,CAN,Canada,2016,Male,Age_all,[All],3004,2.212533,8.515187,16.64995
NAC,North America and the Caribbean,CAN,Canada,2016,Female,Age_all,[All],3333,2.535738,6.301444,18.17255
NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,[All],7769,2.939096,8.704823,21.56458
NAC,North America and the Caribbean,CAN,Canada,2015,Male,Age_all,[All],3482,2.609393,10.00648,19.49156
NAC,North America and the Caribbean,CAN,Canada,2015,Female,Age_all,[All],4287,3.275219,7.701318,23.60354
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],6038,1.807346,6.028327,15.7287
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],3041,1.747049,7.176279,15.95412
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],2997,1.872938,5.134743,15.50639
NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,[All],4146,1.330381,4.136027,10.89106
NAC,North America and the Caribbean,CAN,Canada,2021,Male,Age_all,[All],2155,1.316223,5.251546,11.40338
NAC,North America and the Caribbean,CAN,Canada,2021,Female,Age_all,[All],1991,1.346052,3.240776,10.38601
NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,[All],6041,1.958744,6.336263,16.00598
NAC,North America and the Caribbean,CAN,Canada,2020,Male,Age_all,[All],2995,1.875133,7.660039,15.98853
NAC,North America and the Caribbean,CAN,Canada,2020,Female,Age_all,[All],3046,2.048557,5.276007,16.02316
NAC,North America and the Caribbean,CAN,Canada,2019,All,Age_all,[All],7022,2.46126,7.483465,18.76986
NAC,North America and the Caribbean,CAN,Canada,2019,Male,Age_all,[All],3322,2.270025,8.63303,17.8953
NAC,North America and the Caribbean,CAN,Canada,2019,Female,Age_all,[All],3700,2.662656,6.56835,19.63125
NAC,North America and the Caribbean,CAN,Canada,2018,All,Age_all,[All],8746,3.06121,9.259129,23.5903
NAC,North America and the Caribbean,CAN,Canada,2018,Male,Age_all,[All],4047,2.776272,10.62529,22.00399
NAC,North America and the Caribbean,CAN,Canada,2018,Female,Age_all,[All],4699,3.358036,8.161378,25.15196
NAC,North America and the Caribbean,USA,United States of America,2000,All,Age_all,[All],65853,2.74E+00,12.88792,23.4001
NAC,North America and the Caribbean,USA,United States of America,2000,Male,Age_all,[All],28887,2.45E+00,15.77609,20.92449
NAC,North America and the Caribbean,USA,United States of America,2000,Female,Age_all,[All],36966,3.01573,11.03985,25.78393
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age_all,[All],62474,2.58539,11.90685,21.93634
NAC,North America and the Caribbean,USA,United States of America,2001,Male,Age_all,[All],27511,2.324701,14.50089,19.67698
NAC,North America and the Caribbean,USA,United States of America,2001,Female,Age_all,[All],34963,2.835595,10.20361,24.11511
NAC,North America and the Caribbean,USA,United States of America,2002,All,Age_all,[All],66169,2.71E+00,12.26923,22.94597
NAC,North America and the Caribbean,USA,United States of America,2002,Male,Age_all,[All],29135,2.429407,14.79005,20.56671
