,,,,,,,,,,,
Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age01_04,[1-4],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age20_24,[20-24],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age25_29,[25-29],3,0.245902,,0.141861
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age30_34,[30-34],2,0.121581,,0.087337
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age35_39,[35-39],3,0.111899,,0.111209
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age40_44,[40-44],2,0.05144,,0.07666
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age45_49,[45-49],3,0.057537,,0.129357
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age50_54,[50-54],5,0.06689,,0.244546
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age55_59,[55-59],4,0.042831,,0.257153
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age60_64,[60-64],8,0.065542,,0.635364
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age65_69,[65-69],16,0.089495,,1.401935
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age70_74,[70-74],20,0.078703,,1.996122
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age75_79,[75-79],20,0.060803,,2.483725
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age80_84,[80-84],22,0.065492,,4.421542
NAC,North America and the Caribbean,CAN,Canada,2000,All,Age85_over,[85+],30,0.050314,,7.260319
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age01_04,[1-4],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age20_24,[20-24],2,0.157853,,0.094772
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age25_29,[25-29],1,0.080775,,0.048225
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age30_34,[30-34],2,0.123762,,0.089295
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age35_39,[35-39],4,0.151,,0.151677
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age40_44,[40-44],1,0.026116,,0.037669
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age45_49,[45-49],1,0.018222,,0.042051
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age50_54,[50-54],4,0.052493,,0.188982
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age55_59,[55-59],6,0.063857,,0.368537
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age60_64,[60-64],6,0.049587,,0.465671
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age65_69,[65-69],14,0.08022,,1.226258
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age70_74,[70-74],16,0.064159,,1.569659
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age75_79,[75-79],23,0.071029,,2.809428
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age80_84,[80-84],26,0.075079,,4.969239
NAC,North America and the Caribbean,CAN,Canada,2001,All,Age85_over,[85+],39,0.063634,,9.282267
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age01_04,[1-4],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age20_24,[20-24],1,0.080775,,0.046504
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age25_29,[25-29],1,0.087413,,0.047667
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age30_34,[30-34],1,0.063898,,0.044664
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age35_39,[35-39],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age40_44,[40-44],2,0.052329,,0.074324
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age45_49,[45-49],2,0.035887,,0.081583
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age50_54,[50-54],3,0.039651,,0.140103
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age55_59,[55-59],8,0.079721,,0.458286
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age60_64,[60-64],5,0.039885,,0.373984
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age65_69,[65-69],11,0.063776,,0.963966
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age70_74,[70-74],20,0.081113,,1.934599
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age75_79,[75-79],33,0.101044,,3.983583
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age80_84,[80-84],28,0.077866,,5.04771
NAC,North America and the Caribbean,CAN,Canada,2002,All,Age85_over,[85+],28,0.044131,,6.434992
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age01_04,[1-4],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age10_14,[10-14],1,0.338983,,0.047137
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age20_24,[20-24],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age25_29,[25-29],1,0.083612,,0.047114
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age30_34,[30-34],1,0.0668,,0.044751
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age35_39,[35-39],2,0.083195,,0.080383
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age40_44,[40-44],1,0.025569,,0.036716
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age45_49,[45-49],2,0.034898,,0.079434
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age50_54,[50-54],1,0.012715,,0.045921
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age55_59,[55-59],5,0.049073,,0.271434
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age60_64,[60-64],5,0.038727,,0.358129
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age65_69,[65-69],13,0.07821,,1.130608
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age70_74,[70-74],12,0.048747,,1.152208
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age75_79,[75-79],30,0.092413,,3.56474
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age80_84,[80-84],27,0.072957,,4.625569
NAC,North America and the Caribbean,CAN,Canada,2003,All,Age85_over,[85+],28,0.043159,,6.226359
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age01_04,[1-4],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age20_24,[20-24],1,0.0777,,0.044926
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age25_29,[25-29],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age30_34,[30-34],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age35_39,[35-39],2,0.088183,,0.082837
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age40_44,[40-44],2,0.053923,,0.072753
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age45_49,[45-49],3,0.052854,,0.116714
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age50_54,[50-54],3,0.038319,,0.13422
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age55_59,[55-59],4,0.037697,,0.207423
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age60_64,[60-64],6,0.045666,,0.411986
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age65_69,[65-69],3,0.018183,,0.255961
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age70_74,[70-74],12,0.050499,,1.149004
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age75_79,[75-79],12,0.037699,,1.409397
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age80_84,[80-84],26,0.068468,,4.264148
NAC,North America and the Caribbean,CAN,Canada,2004,All,Age85_over,[85+],28,0.042536,,5.994087
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age00,[0],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age01_04,[1-4],1,0.35461,,0.073301
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age15_19,[15-19],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age20_24,[20-24],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age25_29,[25-29],0,0,,0
NAC,North America and the Caribbean,CAN,Canada,2005,All,Age30_34,[30-34],0,0,,0
