Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,HKG,"China, Hong Kong SAR",2000,All,Age_all,[All],312,0.91794404,3.57349564,4.68117029
AS,Asia,HKG,"China, Hong Kong SAR",2000,Male,Age_all,[All],118,0.6123508,3.46163896,3.60140394
AS,Asia,HKG,"China, Hong Kong SAR",2000,Female,Age_all,[All],194,1.31802432,3.53237011,5.72524716
AS,Asia,HKG,"China, Hong Kong SAR",2001,All,Age_all,[All],351,1.05389581,3.71322491,5.22764845
AS,Asia,HKG,"China, Hong Kong SAR",2001,Male,Age_all,[All],121,0.63660757,3.33980024,3.68677636
AS,Asia,HKG,"China, Hong Kong SAR",2001,Female,Age_all,[All],230,1.60906674,4.01604459,6.70104595
AS,Asia,HKG,"China, Hong Kong SAR",2002,All,Age_all,[All],385,1.12192563,3.83582692,5.70869352
AS,Asia,HKG,"China, Hong Kong SAR",2002,Male,Age_all,[All],131,0.67100343,3.28414616,3.99438956
AS,Asia,HKG,"China, Hong Kong SAR",2002,Female,Age_all,[All],254,1.7172605,4.0819973,7.33150527
AS,Asia,HKG,"China, Hong Kong SAR",2003,All,Age_all,[All],531,1.45787003,5.05323742,7.88910679
AS,Asia,HKG,"China, Hong Kong SAR",2003,Male,Age_all,[All],177,0.86577969,4.27575121,5.43094719
AS,Asia,HKG,"China, Hong Kong SAR",2003,Female,Age_all,[All],354,2.21568505,5.4698233,10.19673359
AS,Asia,HKG,"China, Hong Kong SAR",2004,All,Age_all,[All],507,1.3584845,4.53671894,7.47401784
AS,Asia,HKG,"China, Hong Kong SAR",2004,Male,Age_all,[All],174,0.82766494,4.10103549,5.32631321
AS,Asia,HKG,"China, Hong Kong SAR",2004,Female,Age_all,[All],333,2.0438225,4.74626858,9.46910456
AS,Asia,HKG,"China, Hong Kong SAR",2005,All,Age_all,[All],493,1.27446165,4.11071691,7.23595374
AS,Asia,HKG,"China, Hong Kong SAR",2005,Male,Age_all,[All],159,0.73720326,3.54441646,4.87132353
AS,Asia,HKG,"China, Hong Kong SAR",2005,Female,Age_all,[All],334,1.95207481,4.45064488,9.4105714
AS,Asia,HKG,"China, Hong Kong SAR",2006,All,Age_all,[All],518,1.38447147,4.1099702,7.55421388
AS,Asia,HKG,"China, Hong Kong SAR",2006,Male,Age_all,[All],160,0.76186848,3.33651509,4.89281673
AS,Asia,HKG,"China, Hong Kong SAR",2006,Female,Age_all,[All],358,2.18252759,4.49642414,9.98048509
AS,Asia,HKG,"China, Hong Kong SAR",2007,All,Age_all,[All],578,1.44633786,4.38751385,8.35706953
AS,Asia,HKG,"China, Hong Kong SAR",2007,Male,Age_all,[All],202,0.89293608,4.02179705,6.15122263
AS,Asia,HKG,"China, Hong Kong SAR",2007,Female,Age_all,[All],376,2.16902221,4.54203488,10.3512829
AS,Asia,HKG,"China, Hong Kong SAR",2008,All,Age_all,[All],568,1.36768601,4.07861883,8.16349996
AS,Asia,HKG,"China, Hong Kong SAR",2008,Male,Age_all,[All],197,0.85652174,3.70659984,5.98747796
AS,Asia,HKG,"China, Hong Kong SAR",2008,Female,Age_all,[All],371,2.00226672,4.19746883,10.11560694
AS,Asia,HKG,"China, Hong Kong SAR",2009,All,Age_all,[All],492,1.19862597,3.42218384,7.05598899
AS,Asia,HKG,"China, Hong Kong SAR",2009,Male,Age_all,[All],164,0.71744171,2.95611636,4.99269362
AS,Asia,HKG,"China, Hong Kong SAR",2009,Female,Age_all,[All],328,1.80388275,3.71879483,8.89370933
AS,Asia,HKG,"China, Hong Kong SAR",2010,All,Age_all,[All],477,1.11712218,3.1913543,6.79080892
AS,Asia,HKG,"China, Hong Kong SAR",2010,Male,Age_all,[All],189,0.79341757,3.22895458,5.73718241
